transaction_id,customer_id,product,category,quantity,unit_price,total_amount,region,sales_person,date
1001,501,Laptop,Electronics,1,850,850,North,John,2023-01-10
1002,502,Mouse,Electronics,2,25,50,East,Emily,2023-01-11
1003,503,Keyboard,Electronics,1,45,45,South,Alex,2023-01-11
1004,504,Office Chair,Furniture,1,120,120,West,Sarah,2023-01-12
1005,505,Desk,Furniture,1,200,200,North,John,2023-01-13
1006,506,USB Cable,Accessories,3,5,15,East,Emily,2023-01-13
1007,507,Monitor,Electronics,1,150,150,South,Alex,2023-01-14
1008,508,Table Lamp,Furniture,2,30,60,West,Sarah,2023-01-14
1009,509,Headphones,Accessories,1,60,60,North,John,2023-01-15
1010,510,Smartphone,Electronics,1,699,699,East,Emily,2023-01-16
1011,511,Webcam,Electronics,1,80,80,South,Alex,2023-01-16
1012,512,Notebook Paper,Stationery,5,3,15,West,Sarah,2023-01-17
1013,513,Pen Set,Stationery,10,1,10,North,John,2023-01-17
1014,514,Laptop Stand,Accessories,1,40,40,East,Emily,2023-01-18
1015,515,HDMI Cable,Accessories,2,10,20,South,Alex,2023-01-18
1016,516,Printer,Electronics,1,120,120,West,Sarah,2023-01-19
1017,517,Router,Electronics,1,89,89,North,John,2023-01-19
1018,518,Mouse Pad,Accessories,3,4,12,East,Emily,2023-01-20
1019,519,Whiteboard,Furniture,1,80,80,South,Alex,2023-01-20
1020,520,Desk Mat,Furniture,1,25,25,West,Sarah,2023-01-21
